,Name,lat,long,Number
0,Main Gate,19.125261009144953,72.91645288467406,1
1,H10 Junction,19.129457530258264,72.91542291641234,2
2,LTPCSA,19.132052427169896,72.91510105133057,3
3,LKSideSecondTurn,19.12840334174369,72.91540145874023,4
4,LKSideFirstTurn,19.12641658356495,72.9159379005432,5
5,LKSideFirstTurnEnd,19.126254398169024,72.915358543396,6
6,LKSideSecondTurnEnd,19.128423614663177,72.91469335556029,7
7,DTFirstTurn,19.12745051172124,72.91488647460936,8
8,DTFirstTurnEnd,19.12738969259704,72.91402816772461,9
9,SarovarUdyan,19.125686748029487,72.91370630264281,10
10,DeviTemple,19.124571715291765,72.90924310684206,11
11,DTSecondTurnEnd,19.128707435274844,72.9137706756592,12
12,IITHBack,19.130795529069108,72.91362047195435,13
13,LKSideWalkEntrance,19.131282071404048,72.91213989257812,14
14,BoatHouse,19.12984271284504,72.91027307510377,15
15,LKSideWalkPreH8Turn,19.133349860337805,72.9104447364807,16
16,H8,19.13418102310464,72.9104232788086,17
17,NewSac,19.1335323110596,72.91220426559448,18
18,H5Tee,19.13432292852482,72.91014432907104,19
19,H18Tee,19.134708099764886,72.9089856147766,20
20,H18,19.13651231098156,72.90941476821901,21
21,H9,19.13499190957744,72.90825605392456,22
22,H6,19.13529599097817,72.90711879730225,23
23,H12,19.135518983649504,72.9056167602539,24
24,H4AndTee,19.136106871975933,72.91061639785765,25
25,H2,19.13602578405534,72.91256904602052,26
26,H3,19.136106871975933,72.91156053543091,27
27,OldSac,19.13594469609493,72.91336297988893,28
28,H1,19.136106871975933,72.91407108306885,29
29,H1Tee,19.136005512068984,72.91469335556029,30
30,H15Ent,19.13764753490111,72.91514396667479,31
31,H15,19.13801242664621,72.91385650634766,32
32,Sameer,19.138377317584887,72.91585206985474,33
33,Ananta,19.136654214398348,72.91806221008302,34
34,MechLab,19.134424289464565,72.9183840751648,35
35,H15RoadMid,19.13444456164505,72.9142427444458,36
36,MainTee,19.133066047703267,72.91364192962645,37
37,LibTee,19.13444456164505,72.91544437408447,38
38,Lib,19.13369448930976,72.91542291641234,39
39,VMCC,19.133147137077195,72.91799783706666,40
40,CAD,19.131971337258477,72.91804075241089,41
41,CadTee,19.13201188221916,72.91883468627928,42
42,Aero,19.131059073011773,72.91892051696776,43
43,ChemTeeYP,19.129619712509538,72.91900634765625,44
44,Chem,19.12959943973684,72.91728973388672,45
45,YPGate,19.12852497922332,72.91915655136107,46
